OBJECTID	LandslideCount2018	LandslideCount2020	Landslide2018	Landslide2020	TARGET_FID	Area_SU	CoordX	CoordY	ExpandedSL2020	ExpandedSL2018	ElevationR	ElevationM	ElevationSTD	SlopeR	SlopeM	SlopeSTD	SoildepthR	SoildepthM	SoilDepthSTD	AspectR	AspectM	AspectSTD	PlanCurvR	PlanCurvM	PlanCurvSTD	ProfCurvR	ProfCurvM	ProfCurvSTD	RelRelfR	RelRelfM	RelRelfSTD	TWIR	TWIM	TWISTD	SoilType	DistRR	DistRM	DistSTD	Rain201317MAX	Rain201317R	Rain201317M	Rain201317STD	Rain201321MAX	Rain201321R	Rain201321M	Rain201321STD	SPIR	SPIM	SPISTD	LULC20172021	LULC20172018	NDVI20172021	NDVI20172018
804	0	0	0	0	803	11523.59961	92.1343994	21.1982994			24.56977224	18.26447941	5.163199005	68.9522119	17.24344966	12.56616542	2.850093603	2.108000205	0.598931067	359.9869385	215.525227	67.34628222	13.64608574	-0.005051254	0.444891094	11.88379383	0.004097554	0.397172543	3.981655121	18.32088378	0.579875602	12.4447273	2.296833064	1.807404082	5	152.7684784	272.1057405	32.54099727	615.3157959	38.89581299	604.6946759	5.799098754	631.3757935	38.89581299	620.7546735	5.799098626	20.52597189	-3.195986075	4.493990044	10	10	7	7
805	0	0	0	0	804	11019.7002	92.155899	21.1980991			21.37085724	14.13744412	5.960509472	40.67629007	17.2436986	8.833000993	2.479019403	2.586736295	0.691419094	359.9921856	104.2636558	111.498054	1.653791368	0.003171042	0.095397373	1.490223825	-0.002942137	0.096670069	3.252347946	17.61961859	0.598881709	15.62343234	3.276074029	1.763305915	4	43.13399887	11.47589352	10.37497966	612.6908569	37.33184814	598.0137479	9.774682379	628.7508545	37.33184814	614.0737455	9.774682435	19.99132633	-0.094686019	3.203972349	8	8	7	7
806	0	0	0	0	805	12307.7002	92.1371994	21.1982002			24.48384571	19.84609681	5.151389839	66.65371914	19.24992545	10.9700274	2.840126276	1.924532592	0.597561205	359.9859269	219.7670219	70.24207642	6.411340952	-0.004456231	0.355271185	5.841768742	0.003437699	0.330554054	7.180995941	17.160027	1.404576053	12.67571652	2.271837986	1.649197506	5	89.95641327	34.44631759	22.49622431	615.2399902	38.90777588	606.5072429	5.664133617	631.2999878	38.90777588	622.5672404	5.664133393	20.8122654	-2.446600283	4.431587467	9	10	7	7
807	0	0	0	0	806	6141.490234	92.1631012	21.1980991			24.33248758	12.82712762	6.957497258	47.39337962	21.87848221	10.09065419	2.822568417	2.738733013	0.80706968	359.9670744	232.5891525	39.86262683	3.744939685	0.006417596	0.11594775	4.478072882	-0.005579613	0.130509486	6.773316383	20.01376353	1.321488069	15.42292166	2.909158408	1.788932425	1	69.47422886	57.75008161	13.49527294	613.3756714	51.96008301	594.4636326	12.93816066	629.4356689	51.96008301	610.5236304	12.93816074	19.87443686	-0.082185922	3.453004786	8	8	7	7
808	0	0	0	0	807	3922.110107	92.1638031	21.1977997			20.20011568	14.52467407	5.414873467	42.20202684	20.14727979	7.859790802	2.34321332	2.54181762	0.628125317	359.5453719	135.6113706	42.0868691	1.32696718	0.003850351	0.074908031	1.496067286	-0.003534113	0.088410858	2.503559113	19.9394784	0.685180391	13.61252868	3.238380818	1.331900414	1	87.79401481	50.01689283	22.55911572	612.7123413	32.24523926	599.0244425	8.698012291	628.7723389	32.24523926	615.0844399	8.698012306	19.16535139	0.777028647	2.541094898	8	8	7	7
809	0	0	0	0	808	4153.609863	92.137001	21.1977997			20.46999979	16.12026264	3.655528487	60.21091811	18.75933623	12.77658424	2.374519825	2.356729344	0.424041294	359.9753283	155.4477618	128.236305	10.06820202	-0.011500753	0.409362775	9.281792641	0.012340983	0.392958059	4.579507828	18.18753108	1.131070079	10.48490751	2.348095348	1.621137715	5	103.6413803	45.19764128	30.13313592	611.3395386	39.67907715	602.3201274	4.951806479	627.3995361	39.67907715	618.380125	4.951806666	20.55154419	-2.568922807	4.276114074	11	10	7	7
810	0	0	0	0	809	5605.359863	92.1445999	21.1977005			19.23337555	20.84424235	4.827156336	38.63319849	16.46676259	9.448109939	2.231071472	1.808747713	0.559950119	359.9922174	142.5524666	147.353281	1.308502495	0.000602978	0.114481792	1.163902879	-0.000624381	0.107521413	2.008859634	17.08494973	0.550668476	16.3495574	3.364637749	2.074135825	5	49.39162064	17.82047686	12.14931831	616.2721558	20.91363525	607.655697	5.258040128	632.3321533	20.91369629	623.7156946	5.25804012	20.20841217	-0.620114485	3.75413504	10	8	8	7
811	0	0	0	0	810	17822.5	92.158699	21.1980991			22.50653696	12.43361886	4.867494574	45.51650375	16.88073291	9.26453109	2.610758305	2.784380023	0.56462937	359.9947862	143.2135383	67.24700399	2.589953661	0.003643438	0.092564289	1.886656046	-0.003552367	0.107497707	8.184272766	17.35414855	1.912309265	14.10399646	3.210124006	1.697583017	1	38.37351227	14.86396838	9.227280373	613.0501709	41.33154297	595.7237037	8.665186791	629.1101685	41.33154297	611.7837012	8.665186808	20.47732592	-0.253887994	3.213794903	8	8	7	7
812	0	0	0	0	811	16536.19922	92.1304016	21.1982994			17.1695013	21.9008697	4.319390943	65.37288008	22.00224081	12.1328373	1.991662264	1.686178943	0.501049335	359.9939176	221.40104	102.0781681	8.902678013	0.002890723	0.456449485	9.821929932	0.001609822	0.405554711	4.16642952	14.18382464	0.793206188	13.21518064	1.984291948	1.704382117	6	171.8204956	680.3021466	37.4048359	617.1949463	16.24945068	608.9088079	4.145006795	633.2549438	16.24945068	624.9688056	4.145006728	19.95592403	-2.465293213	4.364884765	10	10	7	7
813	0	0	0	0	812	4260.660156	92.1435013	21.1977005			16.94527245	20.82842059	4.921369084	37.37062822	16.83738052	8.947087455	1.965651512	1.810583037	0.570878798	356.5908029	179.5493703	46.54274563	1.547243297	-0.001545285	0.118655303	1.470553577	0.001258658	0.11501813	1.285282135	18.70730105	0.259389141	14.02716094	3.105143937	1.874933246	5	32.6888237	11.86991706	8.402832219	615.1903076	18.46679688	607.6420008	5.188468088	631.2503052	18.46679688	623.7019984	5.188468087	20.39342546	-0.789463791	3.797922504	8	9	8	7
