Landslide,SlopeR,SlopeM,SlopeSTD,SoildepthR,SoildepthM,SoilDepthSTD,AspectM,AspectSTD,PlanCurvR,PlanCurvM,ProfCurvR,ProfCurvM,RelRelfR,RelRelfM,TWIR,TWIM,TWISTD,SoilType,DistRR,DistRM,Rain201321MAX,Rain201321R,SPIR,SPIM,SPISTD,LULC20172021,NDVI20172021
NO,24.3528543,7.34411334,4.230835916,0.66848731,3.228963561,0.181686621,278.4656054,71.17689243,0.918740451,-0.002614143,1.157085508,0.002035619,2.787865162,8.907199629,14.38647556,3.722394654,1.422576748,3,46.46167374,24.97924117,612.1141357,14.34033203,19.51635456,-1.532641525,3.461152203,15,5
NO,48.40822274,14.06658117,8.475480601,2.112786531,2.038090213,0.487652348,235.979541,55.25040809,3.307670593,0.001191901,3.350067735,-0.000966341,2.273960114,17.47418183,12.74424678,3.068539192,1.658236356,2,23.3994751,8.161040863,629.0238647,25.21807861,21.69491863,-1.367067931,4.10065779,8,7
NO,50.6394878,10.21348629,7.478027119,2.973856926,1.464207366,0.548375314,256.5299639,65.35642777,3.873858333,-0.002560978,4.499349117,0.002034321,0.928077698,18.24740026,13.69701475,3.728196434,1.736245564,2,64.8341217,21.53080069,634.3902588,30.15246582,20.52450132,-1.133148181,3.703563424,8,7
NO,38.02843541,8.589172568,4.040331425,1.584856749,1.951764429,0.372414544,236.3455868,129.6954359,1.42874825,-0.003395785,1.765257359,0.001502854,3.868289948,11.94359433,14.29010926,4.510503344,1.541580256,3,122.3590393,78.37321977,628.8568726,15.79187012,20.65177202,0.125587224,3.069311663,10,8
NO,33.50733747,13.30541877,6.836865528,1.335500479,2.950879763,0.35853725,205.2033163,33.18601707,0.631811932,-0.001333012,0.975564867,0.000392134,2.991172791,13.93094466,11.6161756,3.518333704,1.571640469,2,49.46724984,21.97546404,619.6886597,24.54278564,19.5512681,-0.093807649,2.969413171,8,7
NO,33.20416261,11.4649759,5.797716506,2.387434006,1.920832067,0.495421269,110.1481375,62.55281169,1.318667293,-0.003512874,1.766078651,0.002245608,3.785076141,14.11567014,13.97989875,3.599925995,1.495947972,3,101.3007965,33.41780301,631.5444336,25.32495117,20.5144186,-0.505477377,3.325584671,8,7
NO,36.15475383,11.75137442,7.177736569,1.657080173,2.193883722,0.497088357,117.4631537,67.87543027,1.140429378,-0.002290246,1.280865371,0.001068187,1.380052567,13.53999513,12.54254927,3.343793265,1.445340962,3,59.96427917,30.1452625,628.4326782,17.42944336,19.32513952,-1.219417864,3.799676348,8,4
NO,51.76822489,11.50233126,7.41227149,2.192693949,1.921663932,0.384809115,115.9525758,56.63232494,3.572349787,-0.00263061,3.554429412,0.00240356,3.762876511,16.58547738,14.66035867,3.343425015,1.678432532,2,31.17248344,13.46058463,629.458313,26.04241943,21.42994499,-1.48611558,4.165424758,8,7
NO,36.84137381,12.23715937,7.063450035,2.230950594,1.994068483,0.524955084,212.3957926,143.3932452,1.239233613,-0.002164076,1.642465889,0.001804463,3.543860435,14.17590543,12.25165164,3.450590161,1.467109291,3,98.02980042,38.37951392,630.5750122,24.2991333,20.00619173,-0.83864603,3.565965462,8,7
NO,30.49195049,9.129096719,3.472944701,0.985074759,1.145825374,0.219668755,99.99966742,72.97743898,0.925402969,0.001644443,1.105474234,-0.000321198,8.086511612,14.85389575,13.37787887,3.996652591,1.269480564,3,43.31108665,40.44536587,632.6708984,6.723510742,18.66785765,-0.085243949,2.572140132,10,8
NO,18.83834269,3.035438601,2.767459521,0.236734867,3.458504595,0.04785684,141.0521185,81.74978255,0.984106183,-0.001462101,1.085565478,0.00139707,6.451341152,7.800260501,15.10297012,3.725205829,1.97790693,4,29.31335735,15.64961056,602.458313,6.826843262,18.81704187,-4.663815659,4.497233828,10,4
NO,18.58629675,7.10476041,2.227192259,0.424283981,1.038564964,0.096319392,169.4293147,121.1419748,0.73331517,0.004952297,1.171120167,-0.000559781,3.147841454,11.08785757,10.24872184,3.811643988,1.118802449,3,36.42405701,16.52858218,631.6481934,2.777587891,17.29612637,-0.776484053,2.435402542,10,8
NO,36.57106763,8.608601073,5.158876754,2.022649527,2.8543333,0.428499349,144.1381586,112.0898372,1.249217689,0.000475772,1.454661369,-0.000821805,7.000137329,11.0577854,12.66857237,3.935963782,1.525116115,3,63.70849228,38.69450548,626.6915894,28.93243408,19.78278875,-0.924733238,3.408198142,10,4
NO,26.96116829,10.5092848,5.20804992,1.103404522,2.616423178,0.227451265,147.7548062,32.41997133,1.123017251,0.003064735,1.098009855,0.001492065,1.164433479,11.70297775,8.932554886,3.610696737,1.462406709,3,27.47973824,13.69491514,623.0681152,13.9274292,18.0221715,-0.607347721,3.19027066,10,5
NO,36.31265643,11.08979604,6.804544304,1.291264057,3.109910294,0.329028798,223.2998191,135.8874238,1.216377258,0.001424955,1.212654471,-0.001752491,6.828246117,8.479484227,15.12230188,3.369569356,1.983014835,4,47.07896423,13.95648467,618.8406982,24.85791016,19.34528732,-2.061596225,4.478861256,8,7
NO,33.21554474,10.70853699,5.704921476,1.240820885,2.965710941,0.325033708,251.6971218,113.9865175,1.045232624,-0.002479252,1.081928432,0.002307374,1.36660862,13.01059478,14.18902935,4.121577914,1.534661275,2,54.96765518,20.031559,618.6394043,23.48504639,19.10599375,0.098593339,2.85641159,10,8
NO,37.1436661,10.12276149,6.391775324,1.615731478,2.201092377,0.452978715,137.5523153,125.1140134,1.284245074,-0.000412793,1.246609509,0.000630181,2.319124222,12.8314667,14.26858062,3.489676636,1.636984294,3,44.7898674,11.46049754,628.7611084,16.36804199,19.68757868,-1.42857694,3.727949324,8,4
NO,44.08232507,14.89080918,8.200159565,2.084208488,2.84997164,0.586252107,244.9567651,49.49513299,1.379152358,0.003355479,1.535994291,-0.001743395,4.110417366,16.69087001,15.85135591,3.3106011,1.634700082,2,88.08241272,44.25804236,626.4829712,31.63568115,20.63504887,-0.563203658,3.641514989,8,7
